a1	【A1】adj.第一等的;最佳的;头等的
aa	【AA】[略]=Alcoholics&nbspAnonymous&nbsp美国酒精患者自救协会
aaa	【AAA】[略]=American&nbspAutomobile&nbspAssociation&nbsp美国汽车协会
aar	【Aar】n.阿尔河
aardvark	【aardvark】n.土豚;土猪
aardwolf	【aardwolf】n.土狼
aaron	【Aaron】n.艾伦
aaronic	【Aaronic】adj.亚伦的
aarons/beard	【Aaron's&nbspbeard】n.[植]金丝桃之类
aarons/rod	【Aaron's&nbsprod】n.艾伦魔杖;麒麟草
aasvogel	【aasvogel】n.秃鹰
ab	【ab】=from;【AB】n.人体中的一种血形名称;【ab-】pref.脱离或离开;【ab.】[略]=abbreviation
aba	【aba】n.骆驼的毛织品;阿拉伯式斗篷
abaca	【abaca】n.马尼拉麻;马尼拉丝麻蕉
abaci	【abaci】(pl.)n算盘
abacist	【abacist】n.打算盘的人
aback	【aback】adv.向後地;逆帆地
abacter	【abacter】=abactor
abactor	【abactor】n.一次盗一群家畜者
abacus	【abacus】(pl.ci)n算盘
a/bad/beginning/makes/a/bad/ending	【a&nbspbad&nbspbeginning&nbspmakes&nbspa&nbspbad&nbspending】n.没有好的开始就没有的结局
abaddon	【Abaddon】n.地狱;无底坑
a/bad/excuse/is/better/than/none/at/all	【a&nbspbad&nbspexcuse&nbspis&nbspbetter&nbspthan&nbspnone&nbspat&nbspall】n.有藉口总比没藉口好
a/bad/workman/always/blames/his/tools	【a&nbspbad&nbspworkman&nbspalways&nbspblames&nbsphis&nbsptools】n.笨工匠怪工具差
abaft	【abaft】adv.pre.在船尾;向船尾;在…後
abalienate	【abalienate】v.移转;让渡(产权或财产)
abalone	【abalone】n.石决明;[贝]鲍鱼
abamp	【abamp】n.C.G.S.公制电流单位
abampere	【abampere】n.麻田散体
abandon	【abandon】n.放肆;vt.放弃;遗弃;沉迷;放纵
abandoned	【abandoned】adj.被抛弃的;无耻的;放荡的
abandonee	【abandonee】n.被遗弃者，被委付者
abandoner	【abandoner】n.遗弃者，委付者
abandonment	【abandonment】n.(被)放弃，断念，自暴自弃，狂放;[法]遗弃，委付
abaptiston	【abaptiston】n.圆锯(用於脑部手术);环钻
abas	【abas】v.打倒
abasable	【abasable】adj.可贬黜的;可降低的
abase	【abase】vt.降，贬，降低;
abasement	【abasement】n.贬黜，屈辱
abash	【abash】vt.使…羞愧;使…困窘
abashment	【abashment】n.羞耻，困惑
abasia	【abasia】n.[医]步行不能
abask	【abask】adv.在阳光中(曝晒);靠炉火边(取暖)
abatage	【abatage】n.=abattage
abate	【abate】vt.减少，缓和;[法]排除，使无效;vi.减退;中止，失效;n.减低;[法]中止，失效
abatement	【abatement】n.减轻;减少;排除;中断
abatis	【abatis】n.军用鹿砦;障碍物
abatment	【abatment】n.消除;灭除
abattage	【abattage】n.为防止传染而屠杀有病的牲畜
abattoir	【abattoir】n.屠宰场
abaxial	【abaxial】adj.轴外的;离开轴心的
abb	【abb】n.粗羊毛线;纬丝
abba	【Abba】n.父神;天父;阿爸
abbacy	【abbacy】n.大修道院院长之职位，管区，任期
abbatial	【abbatial】vt.使习惯
abbe	【abbe】n.[法]大修道院院长;僧侣;神父
abbess	【abbess】n.女大修道院院长;尼庵主持
abbey	【abbey】n.修道院，寺院;庵堂
abbeystead	【abbeystead】n.修道院所在地
abbot	【abbot】n.男修道院院长
abbr	【abbr.】[略]abbreviated;abbreviation
abbreviate	【abbreviate】vt.省略;缩短
abbreviated	【abbreviated】adj.简短的;小型的
abbreviation	【abbreviation】n.略语;缩语
abbreviationist	【abbreviationist】n.提倡缩写的人;惯用缩写的人
abbreviator	【abbreviator】n.节略者;缩写者
abc	【ABC】n.初步，入门;火车时刻表;=Aberican&nbspborn&nbspChinese美国出生的中国人
abc/art	【ABC&nbspart】n.抽象派艺术
abc/book	【ABC&nbspbook】n.入门
abcoulomb	【abcoulomb】n.C.G.S.公制的电荷单位;绝对库伦
abc/powers	【ABC&nbspPowers】n.阿根廷，巴西，智利三国
abc/warfare	【ABC&nbspwarfare】=atomic;biological&nbspand&nbspchemical&nbspwarfare原子;生物;化学之战
abd	【ABD】n.=All&nbspBut&nbspDissertation准博士
abdicant	【abdicant】n.放弃者;退位者;adj.逊位的;放弃的;抛弃的
abdicate	【abdicate】v.弃权;放弃;退位;辞职
abdication	【abdication】n.放弃，弃权，让位，退职
abdicator	【abdicator】n.放弃者，让位者
abdiel	【Abdiel】n.神仆
abdomen	【abdomen】n.下腹部
abdominal	【abdominal】adj.下腹部的;腹腔的
abdominal/fin	【abdominal&nbspfin】n.腹鳍
abdominous	【abdominous】adj.大肚皮的;肥胖的
abduce	【abduce】v.使外转;外展;引去
abducens	【abducens】n.=abducens&nbspnerve[解]外展神经;外展肌肉
abducent	【abducent】adj.外展的
abducentes	【abducentes】pl.=abducens
abduct	【abduct】vt.诱拐，拐走;[生]使外转
abduction	【abduction】n.诱拐;外转
abductor	【abductor】n.诱拐者;[解]外转肌
abe	【Abe】n.亚伯;Abraham的昵称
abeam	【abeam】adv.[航]正横地;对着船舷地
abecedaria	【abecedaria】pl.=abecedarium
abecedarian	【abecedarian】n.初学者&nbspadj.初步的;基本的;学习字母的
abecedarium	【abecedarium】(pl.abecedaria)教授字母所使用的启蒙读本
abed	【abed】adv.在床上
abel	【Abel】n.[圣]亚伯
abele	【abele】n.白杨
abelmosk	【abelmosk】n.秋葵
abend	【abend】n.异常终结
aberdeen	【Aberdeen】n.苏格兰之县及都市名称，苏格兰产的粗毛猎狐狗(又名&nbspAberdeen&nbspterrier)
aberdevine	【aberdevine】n.鶸;金翅雀类
aberdonian	【Aberdonian】n.adj.苏格兰人(的)
aberglaube	【aberglaube】n.迷信
abernethy	【Abernethy】n.[英](夹有caraway果实的)硬饼干
aberrance	【aberrance】n.脱离正道，越轨，脱离常轨
aberrancy	【aberrancy】=aberrance
aberrant	【aberrant】adj.脱离正道的，脱离常轨的;[生]变体的，异常的
aberration	【aberration】n.越轨;脱离正道;[医]失常;[理](透镜的)收差，像差
abet	【abet】vt.唆使;怂恿;煽动
abetment	【abetment】n.煽动;教唆;助长
abettor	【abettor】n.=abetter&nbsp嗦使者，煽动者，帮助者
abeyance	【abeyance】n.中止;暂拦
abeyant	【abeyant】adj.未定的;暂搁的
abfarad	【abfarad】n.C.G.S.公制电磁能量单位;n.绝对法拉
abhenry	【abhenry】n.绝对亨利
abhor	【abhor】vt.憎恶，厌弃
abhorrence	【abhorrence】n.厌恶，极为嫌恶之物
abhorrent	【abhorrent】adj.讨厌的，不相容的，不投合的;悖逆的
abhorrer	【abhorrer】n.憎恶者;厌恶者
abidance	【abidance】n.持续;居住;遵守
abidance/at	【abidance&nbspat】居住
